,date,username,post content,quoted user
0,2014-10-19 04:00:00,mumdownunder,"b' Hi all,   I have closed the original thread in the chill out cafe and created two ""describe how you feel with a sentence"" threads. A new one in the chillout cafe and another in experiences.  The aim of the chill out cafe has always been for some time out from mental health struggles and a bit of light hearted ""banter"" so is therefore not the right place to express mental health struggles/ emotional distress. Everyone needs and deserves support so if you don\'t want to start your own thread or just need a short vent then this thread can be that place. '",
1,2014-10-19 04:14:00,prairiechick,"b' At this present moment I feel grateful and blessed, and cared for by my therapist. '",
2,2014-10-19 04:24:00,burt tomato,"b' I feel okay. Like John Nash, I accept that my hallucinations are not real. They are not real people. So I can let them disappear in the distance. '",
3,2014-10-19 05:23:00,Mark_01,"b' Did you see this documentary, ? '",brat tomato
4,2014-10-19 05:43:00,burt tomato,b' Hi thanks for the link Mark. ',Mark_01
5,2014-10-19 15:39:00,BlueBerry,b' Feeling very intense cravings for chocolate right now... ',
6,2014-10-19 16:08:00,shaky,"b' I feel inspired today - Getting things done - except my mind is a bit flighty, finding it hard to settle on what is the most important thing that I should be getting done. '",
7,2014-10-19 16:13:00,Noetic,"b"" Me too. Here have one of mine.   Quick! Won't last long at the rate I'm scoffing em. lol """,BlueBerry
8,2014-10-19 16:39:00,ScaredCat,"b' Very, very tired. Just cant sleep '",
9,2014-10-19 16:59:00,volnash,b' Aware. ',
10,2014-10-19 17:03:00,Helena1,b' hopeless about the situation i am in and the future. ',
11,2014-10-19 17:07:00,Sparklypurplepaws,b' Alone in a house full of people and a desire to not be here anymore ',
12,2014-10-19 17:08:00,ScaredCat,b' I liked this thread better when it was all together ',
13,2014-10-19 17:37:00,MarlieeB,"b"" If this has to happen at least give it a different name like,  How do you feel mentally right now?  Or something along those lines so the two are shown to be different threads and people won't mistakenly post in the wrong one and then think they have done something wrong it's moved into the right thread.  Also I feel it should be stickied as well as the emotion one amathus just posted. """,
14,2014-10-19 17:40:00,apple,"b"" I feel achy, tired, stressed and depressed. I wanted to do something today, but then I got caught up with an application for funding towards a course which took a lot longer than expected and which was tiring, and now it's already four thirty five. I have stomach ache and I think its because I ate either cottage cheese or too many olives. """,
15,2014-10-20 09:47:00,Helena1,b' disappointed but relived as the doc who i saw on fri who was very nice and i wanted to see again is not available for weeks. he said to see him in a week. oh well. ',
16,2014-10-20 11:21:00,Rowan,"b' I feel so tired and the talk about chocolate has made me crave some, lucky I have some choc gold coins in the biscuit tin. '",
17,2014-10-20 11:35:00,Darkred,b' Just feeling a bit tired and lonely. ',
18,2014-10-20 19:12:00,shaky,"b"" Don't spend them all at once  """,Rowan
19,2014-10-20 19:50:00,Helena1,b' i feel even more hopeless today.  ',Helena1
20,2014-10-20 19:52:00,MarlieeB,"b"" Special Honey Covered 's  xxxxx """,
21,2014-10-20 20:07:00,hellokittymad,b' i feel really nervous ',
22,2014-10-20 21:47:00,RainbowHeartz,b' i feel hungry ',
23,2014-10-20 21:49:00,bagpuss,b' Grab ya coat were off to the chippy for pudding n chips !   heya hope you ok  ',Judazz
24,2014-10-20 21:50:00,mami5,b' Anxious ',
25,2014-10-20 21:51:00,bagpuss,"b' Hey Helena big hugz, one day at a time.  I rekon you will be a rich happy girl pretty soon.   I can see it in my tea leaves. '",Helena1
26,2014-10-20 22:18:00,Helena1,b' how soon is pretty soon? can i sue you if you and your tea leaves are wrong. then i will be rich and a third there.  ',GhostChild2
27,2014-10-20 22:23:00,bagpuss,b'  Well they are PG Tips Tea Leaves and they have never let me down yet Helena.  But if you end up sueing me then is it ok if we set up a Payment Plan for \xc2\xa31 a month as I am pretty boracic lint (Skint)   I am just an old lady tea leaf reader with very little revenue! ',Helena1
28,2014-10-20 22:46:00,ScaredCat,"b' Tired, falling, sad, hopeless '",
29,2014-10-20 22:48:00,sightseer,b' (((((((((((((no one))))))))))))))))  sorry you feel so sad. best wishes sightseer.. ',
30,2014-10-20 22:49:00,bagpuss,b' Hugs Some-one xx  ',no-one
31,2014-10-20 22:53:00,sightseer,b' In pain my teeth are fxcking hurting big time...:-( ',
32,2014-10-20 22:54:00,bagpuss,b' Try taking them out and giving them a scrub with some denture wash lol  ',sightseer
33,2014-10-21 00:56:00,hellokittymad,b' i feel like i was brave  i feel stressed though too ',
